# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Wed Oct  9 23:20:23 CEST 2019
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 9.00000 0.9000000358 2.4492788315    0.899 -0.315  3.7309  4.582    1  0.000  0.537     0.00     0.00 -1 -3.27e-14      0.00 7.147e-01 2.703e-01 2.663e-03 7.272e-04 6.606e-03 -1.000 1.502e-02 5.557 7.016 6.501 5.699 5.210 4.832 4.328 3.920 3.864
0.0152 0.01508 9.00000 0.9086850882 2.4515697956    0.908 -0.294  3.7337  4.577    1  0.000  0.537     0.00     0.00 -1 -3.44e-14      0.00 7.148e-01 2.701e-01 2.661e-03 7.268e-04 6.603e-03 -1.000 1.502e-02 5.506 6.919 6.429 5.639 5.157 4.784 4.288 3.888 3.833
0.0152 0.01508 9.00000 0.9500000477 2.4618122578    0.950 -0.200  3.7467  4.554    1  0.000  0.537     0.00     0.00 -1 -4.29e-14      0.00 7.156e-01 2.694e-01 2.655e-03 7.251e-04 6.587e-03 -1.000 1.501e-02 5.271 6.460 6.098 5.361 4.918 4.566 4.109 3.740 3.691
0.0152 0.01508 9.00000 1.0000000000 2.4729156494    1.000 -0.090  3.7608  4.523    1  0.000  0.537     0.00     0.00 -1 -5.59e-14      0.00 7.169e-01 2.682e-01 2.644e-03 7.223e-04 6.562e-03 -1.000 1.492e-02 4.995 5.958 5.730 5.051 4.646 4.316 3.897 3.559 3.517
0.0152 0.01508 9.00000 1.0192395449 2.4768557549    1.019 -0.049  3.7657  4.510    1  0.000  0.537     0.00     0.00 -1    -6e-14      0.00 7.176e-01 2.675e-01 2.639e-03 7.207e-04 6.548e-03 -1.000 1.487e-02 4.892 5.784 5.595 4.938 4.545 4.223 3.818 3.490 3.451
0.0152 0.01508 9.00000 1.0499999523 2.4828116894    1.049  0.016  3.7734  4.488    1  0.000  0.537     0.00     0.00 -1 -6.73e-14      0.00 7.188e-01 2.664e-01 2.629e-03 7.181e-04 6.524e-03 -1.000 1.479e-02 4.729 5.516 5.385 4.761 4.388 4.079 3.693 3.383 3.347
0.0152 0.01508 9.00000 1.1000000238 2.4916803837    1.099  0.119  3.7848  4.451    1  0.000  0.537     0.00     0.00 -1 -8.03e-14      0.00 7.219e-01 2.634e-01 2.604e-03 7.114e-04 6.464e-03 -1.000 1.467e-02 4.472 5.122 5.061 4.487 4.142 3.851 3.494 3.207 3.177
0.0152 0.01508 9.00000 1.1228656769 2.4954347610    1.122  0.165  3.7897  4.434    1  0.000  0.537     0.00     0.00 -1 -8.65e-14      0.00 7.236e-01 2.618e-01 2.591e-03 7.078e-04 6.432e-03 -1.000 1.461e-02 4.357 4.957 4.920 4.367 4.033 3.749 3.404 3.127 3.099
0.0152 0.01508 9.00000 1.1499999762 2.4996678829    1.149  0.218  3.7952  4.413    1  0.000  0.537     0.00     0.00 -1 -9.45e-14      0.00 7.257e-01 2.597e-01 2.574e-03 7.034e-04 6.393e-03 -1.000 1.454e-02 4.224 4.772 4.758 4.228 3.907 3.632 3.300 3.034 3.008
0.0152 0.01508 9.00000 1.2000000477 2.5068950653    1.199  0.314  3.8050  4.375    1  0.000  0.537     0.00     0.00 -1  -1.1e-13      0.00 7.258e-01 2.596e-01 2.581e-03 7.056e-04 6.414e-03 -1.000 1.457e-02 3.984 4.449 4.468 3.980 3.680 3.421 3.112 2.865 2.842
0.0152 0.01508 9.00000 1.2500000000 2.5134611130    1.250  0.405  3.8142  4.338    1  0.000  0.536     0.00     0.00 -1 -1.24e-13      0.00 7.260e-01 2.594e-01 2.581e-03 7.056e-04 6.415e-03 -1.000 1.458e-02 3.756 4.158 4.197 3.746 3.466 3.221 2.933 2.704 2.685
0.0152 0.01508 9.00000 1.2999999523 2.5194499493    1.300  0.492  3.8228  4.303    1  0.000  0.536     0.00     0.00 -1 -1.38e-13      0.00 7.263e-01 2.591e-01 2.579e-03 7.050e-04 6.409e-03 -1.000 1.460e-02 3.541 3.898 3.943 3.523 3.260 3.029 2.762 2.550 2.533
0.0152 0.01508 9.00000 1.3080345392 2.5203633308    1.308  0.505  3.8243  4.298    1  0.000  0.536     0.00     0.00 -1 -1.39e-13      0.00 7.263e-01 2.591e-01 2.579e-03 7.051e-04 6.411e-03 -1.000 1.459e-02 3.507 3.858 3.903 3.488 3.228 3.000 2.736 2.527 2.510
0.0152 0.01508 9.00000 1.3500001431 2.5249314308    1.350  0.574  3.8315  4.272    1  0.000  0.537     0.00     0.00 -1 -1.48e-13      0.00 7.258e-01 2.596e-01 2.583e-03 7.062e-04 6.420e-03 -1.000 1.458e-02 3.335 3.655 3.700 3.311 3.064 2.848 2.601 2.407 2.391
0.0152 0.01508 9.00000 1.4000000954 2.5299651623    1.400  0.652  3.8402  4.245    1  0.000  0.537     0.00     0.00 -1 -1.54e-13      0.00 7.258e-01 2.596e-01 2.582e-03 7.058e-04 6.416e-03 -1.000 1.460e-02 3.139 3.431 3.470 3.109 2.880 2.679 2.452 2.275 2.260
0.0152 0.01508 9.00000 1.4404820204 2.5337476730    1.441  0.714  3.8479  4.227    1  0.000  0.537     0.00     0.00 -1 -1.54e-13      0.00 7.261e-01 2.593e-01 2.580e-03 7.052e-04 6.411e-03 -1.000 1.462e-02 2.986 3.256 3.289 2.951 2.737 2.550 2.340 2.178 2.164
0.0152 0.01508 9.00000 1.4500000477 2.5346016884    1.450  0.728  3.8497  4.222    1  0.000  0.537     0.00     0.00 -1 -1.54e-13      0.00 7.261e-01 2.592e-01 2.579e-03 7.051e-04 6.410e-03 -1.000 1.463e-02 2.950 3.216 3.247 2.914 2.704 2.520 2.314 2.156 2.142
0.0152 0.01508 9.00000 1.4922131300 2.5382392406    1.492  0.789  3.8580  4.206    1  0.000  0.536     0.00     0.00 -1 -1.48e-13      0.00 7.264e-01 2.590e-01 2.577e-03 7.046e-04 6.405e-03 -1.000 1.459e-02 2.797 3.043 3.065 2.756 2.563 2.394 2.205 2.063 2.050
0.0152 0.01508 9.00000 1.5000000000 2.5388846397    1.500  0.800  3.8594  4.203    1  0.000  0.536     0.00     0.00 -1 -1.47e-13      0.00 7.265e-01 2.590e-01 2.577e-03 7.045e-04 6.404e-03 -1.000 1.458e-02 2.769 3.011 3.032 2.727 2.537 2.370 2.185 2.046 2.033
0.0152 0.01508 9.00000 1.5023090839 2.5390744209    1.502  0.804  3.8599  4.202    1  0.000  0.536     0.00     0.00 -1 -1.46e-13      0.00 7.265e-01 2.589e-01 2.577e-03 7.044e-04 6.404e-03 -1.000 1.458e-02 2.761 3.002 3.022 2.719 2.529 2.364 2.180 2.041 2.028
0.0152 0.01508 9.00000 1.5500001907 2.5428512096    1.550  0.870  3.8683  4.183    1  0.000  0.536     0.00     0.00 -1  -1.3e-13      0.00 7.267e-01 2.588e-01 2.575e-03 7.038e-04 6.400e-03 -1.000 1.450e-02 2.595 2.822 2.829 2.550 2.378 2.228 2.061 1.938 1.926
0.0152 0.01508 9.00000 1.5530842543 2.5430862904    1.553  0.874  3.8688  4.182    1  0.000  0.536     0.00     0.00 -1 -1.28e-13      0.00 7.268e-01 2.587e-01 2.575e-03 7.038e-04 6.400e-03 -1.000 1.450e-02 2.585 2.811 2.817 2.539 2.368 2.219 2.054 1.932 1.920
0.0152 0.01508 9.00000 1.5960856676 2.5462553501    1.596  0.932  3.8755  4.163    1  0.000  0.536     0.00     0.00 -1 -1.04e-13      0.00 7.269e-01 2.586e-01 2.574e-03 7.036e-04 6.397e-03 -1.000 1.454e-02 2.440 2.656 2.652 2.392 2.235 2.099 1.947 1.838 1.826
0.0152 0.01508 9.00000 1.6000000238 2.5465342999    1.600  0.937  3.8760  4.161    1  0.000  0.536     0.00     0.00 -1 -1.02e-13      0.00 7.269e-01 2.586e-01 2.574e-03 7.036e-04 6.397e-03 -1.000 1.454e-02 2.427 2.643 2.637 2.379 2.223 2.088 1.937 1.829 1.817
0.0152 0.01508 9.00000 1.6316223145 2.5487298965    1.631  0.979  3.8801  4.144    1  0.000  0.536     0.00     0.00 -1 -7.29e-14      0.00 7.269e-01 2.585e-01 2.573e-03 7.036e-04 6.396e-03 -1.000 1.453e-02 2.323 2.533 2.520 2.273 2.126 1.998 1.856 1.755 1.744
0.0152 0.01508 9.00000 1.6500000954 2.5499615669    1.649  1.003  3.8822  4.133    1  0.000  0.536     0.00     0.00 -1 -6.03e-14      0.00 7.269e-01 2.585e-01 2.573e-03 7.036e-04 6.396e-03 -1.000 1.455e-02 2.263 2.470 2.453 2.212 2.069 1.946 1.808 1.711 1.700
0.0152 0.01508 9.00000 1.6682686806 2.5511550903    1.668  1.027  3.8841  4.122    1  0.000  0.536     0.00     0.00 -1 -3.95e-20      0.00 7.269e-01 2.585e-01 2.573e-03 7.036e-04 6.396e-03 -1.000 1.455e-02 2.204 2.409 2.387 2.152 2.014 1.894 1.760 1.667 1.656
0.0152 0.01508 9.00000 1.7000000477 2.5531582832    1.699  1.068  3.8872  4.101    1  0.000  0.537     0.00     0.00 -1    -1e-30      0.00 7.269e-01 2.586e-01 2.574e-03 7.038e-04 6.396e-03 -1.000 1.455e-02 2.101 2.302 2.274 2.048 1.916 1.803 1.675 1.587 1.576
0.0152 0.01508 9.00000 1.7347594500 2.5552561283    1.734  1.112  3.8901  4.077    1  0.000  0.537     0.00     0.00 -1    -1e-30      0.00 7.268e-01 2.586e-01 2.574e-03 7.040e-04 6.395e-03 -1.000 1.453e-02 1.989 2.187 2.151 1.935 1.810 1.702 1.580 1.498 1.487
0.0152 0.01508 9.00000 1.7500000000 2.5561456680    1.749  1.132  3.8911  4.065    1  0.000  0.537     0.00     0.00 -1    -1e-30      0.00 7.268e-01 2.587e-01 2.575e-03 7.040e-04 6.396e-03 -1.000 1.452e-02 1.940 2.138 2.099 1.886 1.763 1.658 1.538 1.457 1.446
0.0152 0.01508 9.00000 1.7714565992 2.5573682785    1.770  1.159  3.8924  4.049    1  0.000  0.537     0.00     0.00 -1    -1e-30      0.00 7.268e-01 2.587e-01 2.575e-03 7.041e-04 6.397e-03 -1.000 1.454e-02 1.872 2.068 2.025 1.817 1.697 1.595 1.477 1.398 1.388
0.0152 0.01508 9.00000 1.8000000715 2.5589430332    1.799  1.196  3.8935  4.023    1  0.000  0.537     0.00     0.00 -1    -1e-30      0.00 7.267e-01 2.587e-01 2.575e-03 7.043e-04 6.399e-03 -1.000 1.456e-02 1.781 1.976 1.929 1.725 1.608 1.508 1.392 1.316 1.305
0.0152 0.01508 9.00000 1.8020397425 2.5590534210    1.801  1.198  3.8936  4.021    1  0.000  0.537     0.00     0.00 -1    -1e-30      0.00 7.267e-01 2.587e-01 2.575e-03 7.043e-04 6.399e-03 -1.000 1.456e-02 1.774 1.970 1.922 1.718 1.602 1.502 1.386 1.310 1.299
0.0152 0.01508 9.00000 1.8289734125 2.5604836941    1.828  1.233  3.8940  3.995    1  0.000  0.537     0.00     0.00 -1    -1e-30      0.00 7.266e-01 2.589e-01 2.576e-03 7.048e-04 6.398e-03 -1.000 1.454e-02 1.688 1.884 1.832 1.631 1.516 1.418 1.303 1.227 1.216
0.0152 0.01508 9.00000 1.8500000238 2.5615673065    1.849  1.260  3.8938  3.973    1  0.000  0.537     0.00     0.00 -1    -1e-30      0.00 7.265e-01 2.590e-01 2.577e-03 7.053e-04 6.399e-03 -1.000 1.456e-02 1.621 1.818 1.763 1.563 1.449 1.351 1.235 1.160 1.149
0.0152 0.01508 9.00000 1.8599282503 2.5620689392    1.859  1.272  3.8936  3.962    1  0.000  0.537     0.00     0.00 -1    -1e-30      0.00 7.264e-01 2.590e-01 2.577e-03 7.053e-04 6.400e-03 -1.000 1.457e-02 1.590 1.787 1.731 1.531 1.417 1.319 1.203 1.127 1.116
0.0152 0.01508 9.00000 1.8873215914 2.5634222031    1.886  1.307  3.8925  3.929    1  0.000  0.537     0.00     0.00 -1    -1e-30      0.00 7.263e-01 2.591e-01 2.578e-03 7.054e-04 6.404e-03 -1.000 1.459e-02 1.504 1.703 1.644 1.444 1.328 1.228 1.110 1.034 1.022
0.0152 0.01508 9.00000 1.9000000954 2.5640332699    1.899  1.322  3.8915  3.912    1  0.000  0.537     0.00     0.00 -1    -1e-30      0.00 7.262e-01 2.592e-01 2.579e-03 7.054e-04 6.407e-03 -1.000 1.459e-02 1.464 1.665 1.605 1.403 1.285 1.185 1.065 0.987 0.975
0.0152 0.01508 9.00000 1.9200805426 2.5649821758    1.919  1.347  3.8897  3.885    1  0.000  0.537     0.00     0.00 -1    -1e-30      0.00 7.261e-01 2.593e-01 2.579e-03 7.055e-04 6.409e-03 -1.000 1.460e-02 1.402 1.605 1.545 1.339 1.219 1.115 0.992 0.912 0.900
0.0152 0.01508 9.00000 1.9500001669 2.5663545132    1.950  1.384  3.8855  3.838    1  0.000  0.537     0.00     0.00 -1    -1e-30      0.00 7.260e-01 2.595e-01 2.581e-03 7.058e-04 6.412e-03 -1.000 1.455e-02 1.309 1.521 1.460 1.245 1.117 1.007 0.875 0.789 0.776
0.0152 0.01508 9.00000 1.9757508039 2.5674972534    1.976  1.415  3.8805  3.792    1  0.000  0.537     0.00     0.00 -1    -1e-30      0.00 7.258e-01 2.596e-01 2.582e-03 7.061e-04 6.415e-03 -1.000 1.456e-02 1.232 1.453 1.393 1.166 1.029 0.910 0.769 0.675 0.661
0.0152 0.01508 9.00000 2.0000000000 2.5685424805    2.000  1.444  3.8742  3.744    1  0.000  0.537     0.00     0.00 -1    -1e-30      0.00 7.257e-01 2.598e-01 2.584e-03 7.065e-04 6.419e-03 -1.000 1.457e-02 1.161 1.396 1.337 1.094 0.945 0.816 0.661 0.557 0.543
0.0152 0.01508 9.00000 2.0021023750 2.5686318874    2.002  1.446  3.8736  3.740    1  0.000  0.537     0.00     0.00 -1    -1e-30      0.00 7.256e-01 2.598e-01 2.584e-03 7.065e-04 6.419e-03 -1.000 1.457e-02 1.154 1.391 1.332 1.087 0.938 0.807 0.652 0.547 0.532
